Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
텍스트힙,"Textual Hipness, Reading becomes trend",Hobbies,Neutral,Tiktok,10s-20s,야 얘 텍스트힙 쩐다ㅋㅋㅋ 말투 미쳤어,"After the Nobel Prize win of the author Han Kang, the reading craze has become even stronger, and related trends are expanding. This includes the culture of sharing reading certification photos or 'book decoration' works on social media.",2024,Casual,Word,Korean
엥스럽다,Huh? / Weirdly awkward vibe,Emotion,Neutral,Twitter,10s-20s,친구가 갑자기 이상한 말을 해서 엥? 하고 반응했다.,Used primarily for women's community,,Casual,Phrase,Korean
긁?,"You mad, bro? Pride hurt?",Emotion,Neutral,Broadcast,10s-20s,상대가 뭐라는지 이해가 안 돼서 긁? 하고 되물었다.,"This phrase was coined to describe the act of viewers provoking the emotions of broadcasters, making them angry, on platforms like Twitch or AfreecaTV.",2024,Casual,Word,Korean
정뚝떨,Suddenly lost all affection,Negative Experiences,Negative,null,10s-20s, 그의 무례한 행동에 정뚝떨하고 말았다.,"This phrase is trending on online communities and social media to express the moment when someone suddenly loses interest in someone or something, such as in a romantic relationship.",2017,Casual,Word,Korean
킹갓엠페러제너럴,Too good / god-tier level,Humor and Exaggerated,Neutral,Youtube,10s-20s,이 영화는 킹갓제너럴급으로 재미있다.,Pro-gamer Lee Tae-jun used exaggerated praise during his Twitch broadcast for Overwatch.,2016,Casual,Word,Korean
허거덩거덩스,Alternate expression for “OMG” (What the—),Humor and Exaggerated,Neutral,Instagram,10s-20s,"허거덩거덩스, 무슨 일이야?","The internet meme first appeared on Insta It's Cool Thing on February 27, 2025.",2025,Casual,Word,Korean
국룰,Just like everyone else does,lifestyle,Neutral,Broadcast,All,"피자엔 콜라가 국룰이지, 안 그래?","The term originated from the user-defined rules in the Warcraft 3 custom map 'Fight of Characters', but it did not initially take root. Later, it began to be widely used with the popularity of implicit rules created by users in the FPS game 'A.V.A Online', such as 'Knife Fight Rule' and 'Sniper Rule'. In 2017, Twitch streamers jokingly used the phrase 'the first auction is 1 won by default' in a StarCraft custom map called 'Auction Defense', which became a hot topic. Since then, the term has spread as a buzzword not only in games but also in everyday life, referring to humorous unwritten rules or customs.",2020,Casual,Word,Korean
월루,Salary thief (slacker at work),lifestyle,Neutral,null,20s-30s,회사에서 월루하면서 시간을 보내고 있다.,"The term is a portmanteau created by combining the name of the legendary thief 'Arsène Lupin' from the works of French novelist Maurice Leblanc, and 'salary'. It is used sarcastically to refer to employees who do not properly perform their company duties and only collect their salary. This term has become popular among Korean internet communities and office workers.",2011,Casual,Word,Korean
날먹,Get things easily without effort (freeloading),Negative Experiences,Negative,Broadcast,10s-20s,열심히 노력한 팀의 결과물을 날먹하는 건 안 된다.,The new slang term originated from criticizing users in Dungeon & Fighter's 'Anton Raid' who only make the minimum contribution and just collect rewards.,2014,Casual,Word,Korean
도달가능미,"Reachable beauty, achievable beauty",Beauty,Neutral,Twitter,10s-20s,그 배우 진짜 예쁜데 도달가능미라 더 좋음. 따라 해볼 수 있을 듯!,"This originated from a meme that expresses the phenomenon of discrepancy between one's ideal type and reality, by comparing Korean celebrities 'Kim Go-eun' and 'Jang Yi-soo' who have similar clothes and hairstyles.",2024,Casual,Word,Korean
떡상,Massive surge,Positive Experiences,Positive,Community,10s-30s,비트코인 떡상해서 기분 미쳤다 지금,"This Korean text translates to English as: Originally a slang term used by cryptocurrency investors to describe a sharp drop in the value of stocks or cryptocurrencies, it has since spread as a general neologism to describe a drastic fall in any field.",2018,Casual,Word,Korean
가슴에 쏟았다,"Regardless of the outcome, they showed an incredible performance",Positive Experiences,Positive,Twitter,10s-20s,댓글 하나하나 가슴에 쏟았네… 나 지금 눈물 나려 함,"This expression, which feels like a warm bowl of soup, a soul food for Koreans, pouring into your heart when you see a heartwarming scene, has been frequently used on Twitter for the past 2-3 years.",2024,Casual,Phrase,Korean
싹싹김치,"""So awesome!"", ""Feeling great!"", ""This is amazing!""",Humor and Exaggerated,Positive,Community,10s-20s,나 오늘 갓템했잖아~ 완전 싹싹김치~~,It is presumed to have first been used in an online community called Ilgan Best.,2025,Casual,Word,Korean
퀸 네버 크라이,Queen Never Cry,Humor and Exaggerated,Neutral,Twitter,10s-20s,나는 안 울어… 퀸 네버 크라이니까,The global meme that originated from the content of Episode 34 in the Naver Webtoon 'Siblings'.,2024,Casual,Word,Korean
깔끼하네,"Looks clean and sharp, neat and stylish",Beauty,Positive,Youtube,10s-20s,깔끔하고 끼있는 거… 깔끼하네 완전,The spread started from the content imitating the Gyeongsang Province dialect on the YouTube channel 'Pisik University'.,2024,Casual,Phrase,Korean
꾸밈정도,"Level of adornment"", ""degree of styling"", or ""extent of grooming/polish",Beauty,Neutral,"Twitter,Tiktok",20s-30s,오늘 꾸밈정도 몇 단계야?,"This is frequently mentioned in fashion and beauty-related content and used in daily life, as well as on platforms like TikTok and Instagram.",2024,Casual,Word,Korean
꾸꾸꾸,"full gram, all dolled up, dressed to impress, heavily styled",Beauty,Neutral,null,10s-20s,꾸안꾸 아니고 꾸꾸꾸임. 저건 계산된 자연스러움이다,"This is frequently used on SNS like TikTok, Instagram, etc., and is often mentioned in fashion and beauty related content. It is also used among friends in daily life.",2019,Casual,Word,Korean
꾸안꾸,"Effortlessly stylish, low-key fashionable, natural but put-together",Beauty,Neutral,null,20s-30s,꾸안꾸가 제일 어려워 진짜. 센스 없으면 안 됨,"This is frequently used on SNS like TikTok, Instagram, and often mentioned in fashion and beauty related content. It's also used among friends in everyday life.",2019,Casual,Word,Korean
딸피,"low HP, critical health, one-shot killable, almost dead, very vulnerable",Hobbies,Neutral,Broadcast,10s-20s,딸피 한 방인데 놓쳤다 개빡침;,Mainly used in the game,2024,Casual,Word,Korean
힘숨찐,"concealed potential, latent power",Conversational,Neutral,null,10s-20s,처음엔 조용했는데 알고 보니 힘숨찐이더라ㅋㅋ,"After the narrative of 'Superman' from DC Comics, which gained popularity through various contents such as comics and movies, became popular, a domestic web novel titled 'The Protagonist Hiding His Power' appeared in June 2016 and began to trend as an abbreviation.",2016,Casual,Word,Korean
펭귄부부,who joyfully share household chores and work together,lifestyle,Neutral,null,20s-30s,서로만 바라보고 사는 거 완전 펭귄부부지,"This term has become widespread with the advent of the low birth rate era in Korea. It refers to a situation where a family has only one child, and the overall lifestyle of the family is focused on that one child.",2013,Casual,Word,Korean
루삥뽕,"lol, haha, rofl",Humor and Exaggerated,Negative,Broadcast,10s-20s,너 왜 그렇게 생겼어??~~ 루삥뽕~~,"The term 'friend' from the Twitch TV donation message, which uses a mischievous TTS voice, is used to tease streamers and has become a trend.",2021,,Word,Korean
희연사,Rare celebrity photo,Hobbies,Neutral,Twitter,10s-20s,나 어제 아이브 장원영 희연사 찾았잖아~ 완전 좋아!,"""Fandom, online communities, YouTube, etc. are frequently used.""",2020,Casual,Word,Korean
돼지런하다,to be diligent in eating,lifestyle,Negative,Broadcast,10s-20s,아침부터 빵 3개 먹고 운동도 함. 오늘 돼지런했다ㅋㅋ,The compound word of 'pig' and 'diligent' has spread with the meaning of being diligent about eating.,2016,Casual,Phrase,Korean
억빠,"fanboy/fangirl, die-hard fan",Negative Experiences,Negative,Broadcast,10s-20s,야 그건 좀 억빠 아님? 저 무대는 못 옹호한다ㅋㅋ,It is used and spread when unconditionally defending the mistakes of celebrities.,2021,Casual,Word,Korean
오뱅알,oday's broadcast was very fulfilling/informative/rich,Hobbies,Positive,Broadcast,10s-20s,오뱅알 인정. 무대 + 인터뷰 + 팬서비스까지 완벽,"The term was originally coined to evaluate the broadcasts of 'WooWakGood', the first generation internet broadcaster in South Korea, and is now widely used in various internet broadcasts.",2022,Casual,Word,Korean
먹bread,eating show,Humor and Exaggerated,Neutral,Instagram,10s-20s,다이어트 중인데 먹bread 해버림…,"This phrase was coined by an elementary school student who uploads 'mukbang' challenges, or eating food, on Instagram. The term 'mukbang' was used, noting that the pronunciation of 'bang' in 'mukbang' is similar to 'bread', which means bread.",2022,Casual,Word,Korean
횰로,independent YOLO,lifestyle,Neutral,null,20s,내일은 없어~ 횰로 정신으로 산다,"The compound word reflects the characteristics of a generation that pursues happiness alone, in line with the societal trend of increasing single-person households, prioritizing the happiness they are experiencing now, represented by the word 'YOLO' (You Only Live Once).",2021,Casual,Word,Korean
이모카세,Auntie's Omakase or K-Fusion Homestyle Chef's Choice → Directly: “Homestyle meal picked by the auntie (no menu)”,lifestyle,Neutral,Broadcast,20s~,을지로 그 골목 이모카세 진짜 미쳤다. 그냥 앉으니까 밥상 차려짐,"After appearing on the Black and White Chef program, it has been used more widely.",,Casual,Word,Korean
깊꾸,gift card decoration,Economy,Neutral,Instagram,20s-30s,오늘 너 생일이라서 내가 간만에 깊꾸해서 보냈다! 생일 축하해!ㅎㅎ,"This is a newly coined term that combines 'Gifticon', a compound word of 'gift' and 'icon' which refers to the act of receiving gifts on mobile and using them as real goods, and the characteristic of the MZ generation who enjoy decorating according to their tastes. It refers to the act of decorating a Gifticon according to one's taste when delivering it, and it is spreading.",2021,Casual,Word,Korean
